2014-05-09,1.3754
2014-05-08,1.3852
2014-05-07,1.3912
2014-05-06,1.3928
2014-05-05,1.3876
2014-05-02,1.387
2014-05-01,1.3865
2014-04-30,1.387
2014-04-29,1.3811
2014-04-28,1.3848
2014-04-25,1.3832
2014-04-24,1.3827
2014-04-23,1.3816
2014-04-22,1.3804
2014-04-21,1.3793
2014-04-18,1.3818
2014-04-17,1.3814
2014-04-16,1.3813
2014-04-15,1.3813
2014-04-14,1.382
2014-04-11,1.3882
2014-04-10,1.3887
2014-04-09,1.3851
2014-04-08,1.3794
2014-04-07,1.3743
2014-04-04,1.3705
2014-04-03,1.3715
2014-04-02,1.3762
2014-04-01,1.3793
2014-03-31,1.3781
2014-03-28,1.375
2014-03-27,1.3744
2014-03-26,1.3793
2014-03-25,1.3824
2014-03-24,1.384
2014-03-21,1.3796
2014-03-20,1.3775
2014-03-19,1.3829
2014-03-18,1.3934
2014-03-17,1.3923
2014-03-14,1.3908
2014-03-13,1.3859
2014-03-12,1.3906
2014-03-11,1.3864
2014-03-10,1.3869
2014-03-07,1.3869
2014-03-06,1.3859
2014-03-05,1.3732
2014-03-04,1.3738
2014-03-03,1.3729
2014-02-28,1.3806
2014-02-27,1.3707
2014-02-26,1.3685
2014-02-25,1.3742
2014-02-24,1.3734
2014-02-21,1.374
2014-02-20,1.372
2014-02-19,1.3733
2014-02-18,1.3757
2014-02-17,1.3708
2014-02-14,1.3697
2014-02-13,1.368
2014-02-12,1.3592
2014-02-11,1.3637
2014-02-10,1.3634
2014-02-07,1.3638
2014-02-06,1.3588
2014-02-05,1.3531
2014-02-04,1.3515
2014-02-03,1.3531
2014-01-31,1.3487
2014-01-30,1.355
2014-01-29,1.3661
2014-01-28,1.3666
2014-01-27,1.3672
2014-01-24,1.368
2014-01-23,1.3694
2014-01-22,1.3548
2014-01-21,1.3558
2014-01-20,1.3562
2014-01-17,1.3524
2014-01-16,1.3617
2014-01-15,1.3604
2014-01-14,1.3681
2014-01-13,1.3668
2014-01-10,1.3665
2014-01-09,1.3607
2014-01-08,1.3581
2014-01-07,1.3614
2014-01-06,1.3634
2014-01-03,1.3587
2014-01-02,1.3655
2014-01-01,1.3745
